YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,AIRLINE_NAME,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,ORIGIN_NAME,ORIGIN_CITY,ORIGIN_STATE,DESTINATION_AIRPORT,DESTINATION_NAME,DESTINATION_CITY,DESTINATION_STATE,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,DISTANCE,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY
2015,1,5,1,WN,Southwest Airlines Co.,4839,N623SW,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,LAS,McCarran International Airport,Las Vegas,NV,1320,1322,2,255,1325,1329,4
2015,1,5,1,WN,Southwest Airlines Co.,4877,N299WN,RNO,Reno/Tahoe International Airport,Reno,NV,LAS,McCarran International Airport,Las Vegas,NV,1345,1344,-1,345,1455,1453,-2
2015,1,5,1,WN,Southwest Airlines Co.,1255,N934WN,LAS,McCarran International Airport,Las Vegas,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1350,1356,6,255,1555,1606,11
2015,1,5,1,WN,Southwest Airlines Co.,806,N8311Q,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,LAS,McCarran International Airport,Las Vegas,NV,1405,1404,-1,255,1410,1404,-6
2015,1,5,1,WN,Southwest Airlines Co.,376,N436WN,LAS,McCarran International Airport,Las Vegas,NV,RNO,Reno/Tahoe International Airport,Reno,NV,1410,1418,8,345,1530,1527,-3
2015,1,5,1,WN,Southwest Airlines Co.,335,N780SW,LAS,McCarran International Airport,Las Vegas,NV,TUS,Tucson International Airport,Tucson,AZ,1410,1410,0,365,1625,1620,-5
2015,1,5,1,OO,Skywest Airlines Inc.,6584,N889AS,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,1435,1429,-6,119,1521,1514,-7
2015,1,5,1,WN,Southwest Airlines Co.,2086,N355SW,LAS,McCarran International Airport,Las Vegas,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1435,1503,28,255,1640,1712,32
2015,1,5,1,OO,Skywest Airlines Inc.,6583,N896SK,TUS,Tucson International Airport,Tucson,AZ,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1435,1434,-1,110,1523,1524,1
2015,1,5,1,OO,Skywest Airlines Inc.,6603,N944SW,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,YUM,Yuma International Airport,Yuma,AZ,1445,1438,-7,160,1538,1542,4
2015,1,5,1,WN,Southwest Airlines Co.,597,N242WN,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,LAS,McCarran International Airport,Las Vegas,NV,1455,1502,7,255,1500,1459,-1
2015,1,5,1,OO,Skywest Airlines Inc.,6570,N907SW,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,TUS,Tucson International Airport,Tucson,AZ,1455,1442,-13,110,1543,1536,-7
2015,1,5,1,US,US Airways Inc.,1826,N583UW,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,LAS,McCarran International Airport,Las Vegas,NV,1459,1543,44,255,1508,1548,40
2015,1,5,1,WN,Southwest Airlines Co.,3499,N409WN,TUS,Tucson International Airport,Tucson,AZ,LAS,McCarran International Airport,Las Vegas,NV,1505,1517,12,365,1520,1527,7
2015,1,5,1,WN,Southwest Airlines Co.,875,N266WN,RNO,Reno/Tahoe International Airport,Reno,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1510,1526,16,601,1750,1808,18
2015,1,5,1,WN,Southwest Airlines Co.,164,N436WN,RNO,Reno/Tahoe International Airport,Reno,NV,LAS,McCarran International Airport,Las Vegas,NV,1600,1601,1,345,1715,1724,9
2015,1,5,1,OO,Skywest Airlines Inc.,6611,N889AS,FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1600,1553,-7,119,1644,1628,-16
2015,1,5,1,WN,Southwest Airlines Co.,3483,N750SA,LAS,McCarran International Airport,Las Vegas,NV,RNO,Reno/Tahoe International Airport,Reno,NV,1600,1606,6,345,1720,1718,-2
2015,1,5,1,OO,Skywest Airlines Inc.,6619,N944SW,YUM,Yuma International Airport,Yuma,AZ,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1605,1606,1,160,1657,1705,8
2015,1,5,1,OO,Skywest Airlines Inc.,6577,N907SW,TUS,Tucson International Airport,Tucson,AZ,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1615,1603,-12,110,1705,1641,-24
2015,1,5,1,US,US Airways Inc.,2027,N583UW,LAS,McCarran International Airport,Las Vegas,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1635,1634,-1,255,1844,1851,7
2015,1,5,1,WN,Southwest Airlines Co.,3116,N742SW,LAS,McCarran International Airport,Las Vegas,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1710,1731,21,255,1920,1945,25
2015,1,5,1,WN,Southwest Airlines Co.,738,N366SW,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,LAS,McCarran International Airport,Las Vegas,NV,1715,1746,31,255,1720,1749,29
2015,1,5,1,OO,Skywest Airlines Inc.,6609,N907SW,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,YUM,Yuma International Airport,Yuma,AZ,1740,1733,-7,160,1832,1831,-1
2015,1,5,1,US,US Airways Inc.,636,N507AY,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,LAS,McCarran International Airport,Las Vegas,NV,1750,1816,26,255,1757,1818,21
2015,1,5,1,WN,Southwest Airlines Co.,1758,N750SA,RNO,Reno/Tahoe International Airport,Reno,NV,LAS,McCarran International Airport,Las Vegas,NV,1750,1755,5,345,1900,1900,0
2015,1,5,1,US,US Airways Inc.,523,N760US,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,RNO,Reno/Tahoe International Airport,Reno,NV,1750,1845,55,601,1840,1929,49
2015,1,5,1,WN,Southwest Airlines Co.,738,N620SW,LAS,McCarran International Airport,Las Vegas,NV,RNO,Reno/Tahoe International Airport,Reno,NV,1755,1824,29,345,1915,1942,27
2015,1,5,1,WN,Southwest Airlines Co.,2122,N383SW,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,LAS,McCarran International Airport,Las Vegas,NV,1820,1835,15,255,1825,1837,12
2015,1,5,1,WN,Southwest Airlines Co.,1584,N443WN,LAS,McCarran International Airport,Las Vegas,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1900,1957,57,255,2105,2203,58
2015,1,5,1,OO,Skywest Airlines Inc.,6607,N907SW,YUM,Yuma International Airport,Yuma,AZ,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1900,1852,-8,160,2002,1939,-23
2015,1,5,1,WN,Southwest Airlines Co.,2703,N725SW,LAS,McCarran International Airport,Las Vegas,NV,TUS,Tucson International Airport,Tucson,AZ,1905,2002,57,365,2115,2206,51
2015,1,5,1,US,US Airways Inc.,735,N604AW,LAS,McCarran International Airport,Las Vegas,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1945,1936,-9,255,2151,2147,-4
2015,1,5,1,US,US Airways Inc.,572,N548UW,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,LAS,McCarran International Airport,Las Vegas,NV,1950,2033,43,255,2000,2036,36
2015,1,5,1,WN,Southwest Airlines Co.,827,N620SW,RNO,Reno/Tahoe International Airport,Reno,NV,LAS,McCarran International Airport,Las Vegas,NV,1950,2012,22,345,2105,2119,14
2015,1,5,1,WN,Southwest Airlines Co.,211,N8607M,LAS,McCarran International Airport,Las Vegas,NV,RNO,Reno/Tahoe International Airport,Reno,NV,2000,2025,25,345,2115,2131,16
2015,1,5,1,WN,Southwest Airlines Co.,1661,N723SW,LAS,McCarran International Airport,Las Vegas,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,2025,2124,59,255,2230,2321,51
2015,1,5,1,WN,Southwest Airlines Co.,371,N759GS,RNO,Reno/Tahoe International Airport,Reno,NV,LAS,McCarran International Airport,Las Vegas,NV,2035,2030,-5,345,2145,2133,-12
2015,1,5,1,WN,Southwest Airlines Co.,412,N716SW,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,LAS,McCarran International Airport,Las Vegas,NV,2045,2050,5,255,2045,2047,2
2015,1,5,1,OO,Skywest Airlines Inc.,6590,N506CA,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,2057,2055,-2,119,2141,2140,-1
2015,1,5,1,US,US Airways Inc.,528,N769US,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,RNO,Reno/Tahoe International Airport,Reno,NV,2110,2145,35,601,2203,2229,26
2015,1,5,1,US,US Airways Inc.,608,N509AY,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,LAS,McCarran International Airport,Las Vegas,NV,2115,2111,-4,255,2125,2137,12
2015,1,5,1,WN,Southwest Airlines Co.,167,N749SW,LAS,McCarran International Airport,Las Vegas,NV,RNO,Reno/Tahoe International Airport,Reno,NV,2115,2134,19,345,2230,2243,13
2015,1,5,1,WN,Southwest Airlines Co.,2970,N725SW,TUS,Tucson International Airport,Tucson,AZ,LAS,McCarran International Airport,Las Vegas,NV,2140,2228,48,365,2155,2232,37
2015,1,5,1,WN,Southwest Airlines Co.,827,N620SW,LAS,McCarran International Airport,Las Vegas,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,2140,2152,12,255,2340,2348,8
2015,1,5,1,WN,Southwest Airlines Co.,171,N724SW,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,RNO,Reno/Tahoe International Airport,Reno,NV,2210,2212,2,601,2255,2248,-7
2015,1,5,1,WN,Southwest Airlines Co.,330,N8649A,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,LAS,McCarran International Airport,Las Vegas,NV,2225,2229,4,255,2230,2229,-1
2015,1,5,1,OO,Skywest Airlines Inc.,6560,N885AS,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,YUM,Yuma International Airport,Yuma,AZ,2240,2231,-9,160,2330,2321,-9
2015,1,6,2,WN,Southwest Airlines Co.,4426,N724SW,RNO,Reno/Tahoe International Airport,Reno,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,600,558,-2,601,845,856,11
2015,1,6,2,WN,Southwest Airlines Co.,695,N289CT,LAS,McCarran International Airport,Las Vegas,NV,RNO,Reno/Tahoe International Airport,Reno,NV,605,600,-5,345,725,713,-12
2015,1,6,2,WN,Southwest Airlines Co.,3214,N749SW,RNO,Reno/Tahoe International Airport,Reno,NV,LAS,McCarran International Airport,Las Vegas,NV,610,609,-1,345,725,738,13
2015,1,6,2,US,US Airways Inc.,2070,N769US,RNO,Reno/Tahoe International Airport,Reno,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,615,731,76,601,903,1017,74
2015,1,6,2,WN,Southwest Airlines Co.,2251,N602SW,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,LAS,McCarran International Airport,Las Vegas,NV,620,620,0,255,625,616,-9
2015,1,6,2,US,US Airways Inc.,687,N680AW,LAS,McCarran International Airport,Las Vegas,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,635,629,-6,255,845,835,-10
2015,1,6,2,WN,Southwest Airlines Co.,2340,N705SW,LAS,McCarran International Airport,Las Vegas,NV,TUS,Tucson International Airport,Tucson,AZ,640,635,-5,365,850,844,-6
2015,1,6,2,WN,Southwest Airlines Co.,181,N8607M,RNO,Reno/Tahoe International Airport,Reno,NV,LAS,McCarran International Airport,Las Vegas,NV,700,656,-4,345,825,818,-7
2015,1,6,2,WN,Southwest Airlines Co.,1046,N900WN,LAS,McCarran International Airport,Las Vegas,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,700,652,-8,255,905,900,-5
2015,1,6,2,WN,Southwest Airlines Co.,2251,N602SW,LAS,McCarran International Airport,Las Vegas,NV,RNO,Reno/Tahoe International Airport,Reno,NV,700,654,-6,345,820,805,-15
2015,1,6,2,WN,Southwest Airlines Co.,1931,N8625A,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,LAS,McCarran International Airport,Las Vegas,NV,720,718,-2,255,730,714,-16
2015,1,6,2,OO,Skywest Airlines Inc.,2720,N506CA,FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,800,800,0,119,857,857,0
2015,1,6,2,OO,Skywest Airlines Inc.,2688,N885AS,YUM,Yuma International Airport,Yuma,AZ,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,800,749,-11,160,851,900,9
2015,1,6,2,OO,Skywest Airlines Inc.,2736,N468CA,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,YUM,Yuma International Airport,Yuma,AZ,821,1011,110,160,918,1127,129
2015,1,6,2,WN,Southwest Airlines Co.,159,N439WN,LAS,McCarran International Airport,Las Vegas,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,835,832,-3,255,1040,1028,-12
2015,1,6,2,US,US Airways Inc.,602,N579UW,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,LAS,McCarran International Airport,Las Vegas,NV,850,857,7,255,903,900,-3
2015,1,6,2,WN,Southwest Airlines Co.,591,N602SW,RNO,Reno/Tahoe International Airport,Reno,NV,LAS,McCarran International Airport,Las Vegas,NV,850,845,-5,345,1005,958,-7
2015,1,6,2,WN,Southwest Airlines Co.,4922,N942WN,LAS,McCarran International Airport,Las Vegas,NV,RNO,Reno/Tahoe International Airport,Reno,NV,905,902,-3,345,1025,1009,-16
2015,1,6,2,WN,Southwest Airlines Co.,2429,N705SW,TUS,Tucson International Airport,Tucson,AZ,LAS,McCarran International Airport,Las Vegas,NV,920,919,-1,365,940,927,-13
2015,1,6,2,WN,Southwest Airlines Co.,336,N448WN,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,LAS,McCarran International Airport,Las Vegas,NV,925,1056,91,255,930,1113,103
2015,1,6,2,US,US Airways Inc.,416,N760US,RNO,Reno/Tahoe International Airport,Reno,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,930,928,-2,601,1212,1217,5
2015,1,6,2,OO,Skywest Airlines Inc.,2703,N468CA,YUM,Yuma International Airport,Yuma,AZ,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,945,1147,122,160,1035,1252,137
2015,1,6,2,OO,Skywest Airlines Inc.,2720,N506CA,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,YUM,Yuma International Airport,Yuma,AZ,945,947,2,160,1046,1045,-1
2015,1,6,2,OO,Skywest Airlines Inc.,2695,N907SW,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,948,943,-5,119,1041,1032,-9
2015,1,6,2,US,US Airways Inc.,471,N579UW,LAS,McCarran International Airport,Las Vegas,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1000,950,-10,255,1206,1204,-2
2015,1,6,2,WN,Southwest Airlines Co.,2319,N390SW,LAS,McCarran International Airport,Las Vegas,NV,RNO,Reno/Tahoe International Airport,Reno,NV,1035,1034,-1,345,1155,1145,-10
2015,1,6,2,WN,Southwest Airlines Co.,1988,N456WN,LAS,McCarran International Airport,Las Vegas,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1040,1048,8,255,1245,1249,4
2015,1,6,2,WN,Southwest Airlines Co.,675,N269WN,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,LAS,McCarran International Airport,Las Vegas,NV,1100,1101,1,255,1110,1103,-7
2015,1,6,2,WN,Southwest Airlines Co.,2346,N942WN,RNO,Reno/Tahoe International Airport,Reno,NV,LAS,McCarran International Airport,Las Vegas,NV,1100,1057,-3,345,1210,1213,3
2015,1,6,2,OO,Skywest Airlines Inc.,2702,N506CA,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,YUM,Yuma International Airport,Yuma,AZ,1100,1242,102,160,1200,1337,97
2015,1,6,2,US,US Airways Inc.,561,N568UW,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,LAS,McCarran International Airport,Las Vegas,NV,1110,1108,-2,255,1124,1122,-2
2015,1,6,2,OO,Skywest Airlines Inc.,2698,N907SW,FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1130,1125,-5,119,1218,1208,-10
2015,1,6,2,OO,Skywest Airlines Inc.,2740,N506CA,YUM,Yuma International Airport,Yuma,AZ,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1130,1121,-9,160,1222,1208,-14
